start_time,end_time,room_set
1392057000.0,1392057012.0,"5,3,1"
1392057013.0,1392057298.0,"5,4,3,1"
1392057299.0,1392059135.0,"5,6,4,3,1"
1392059136.0,1392060261.0,"6,4,3,1"
1392060262.0,1392061159.0,"6,2,4,3,1"
1392061160.0,1392068137.0,"5,6,2,4,3,1"
1392068138.0,1392068143.0,"6,2,4,3,1"
1392068144.0,1392068177.0,"5,6,2,4,3,1"
1392068178.0,1392073058.0,"6,2,4,3,1"
1392073059.0,1392073241.0,"6,2,4,1"
1392073242.0,1392074060.0,"6,2,4,3,1"
1392074061.0,1392074241.0,"6,4,3,1"
1392074242.0,1392077223.0,"6,2,4,3,1"
1392077224.0,1392077240.0,"6,2,4,1"
1392077241.0,1392077241.0,"6,2,4,3,1"
1392077241.0,1392077241.0,"6,2,4,1"
1392077242.0,1392077242.0,"6,2,4,3,1"
1392077242.0,1392077242.0,"6,2,4,1"
1392077243.0,1392077243.0,"6,2,4,3,1"
1392077243.0,1392077243.0,"6,2,4,1"
1392077244.0,1392077244.0,"6,2,4,3,1"
1392077244.0,1392077244.0,"6,2,4,1"
1392077245.0,1392077245.0,"6,2,4,3,1"
1392077245.0,1392077245.0,"6,2,4,1"
1392077246.0,1392077246.0,"6,2,4,3,1"
1392077246.0,1392077246.0,"6,2,4,1"
1392077247.0,1392077247.0,"6,2,4,3,1"
1392077247.0,1392077247.0,"6,2,4,1"
1392077248.0,1392077248.0,"6,2,4,3,1"
1392077248.0,1392077248.0,"6,2,4,1"
1392077249.0,1392077249.0,"6,2,4,3,1"
1392077249.0,1392077249.0,"6,2,4,1"
1392077250.0,1392077250.0,"6,2,4,3,1"
1392077250.0,1392077250.0,"6,2,4,1"
1392077251.0,1392077251.0,"6,2,4,3,1"
1392077251.0,1392077251.0,"6,2,4,1"
1392077252.0,1392077252.0,"6,2,4,3,1"
1392077252.0,1392077252.0,"6,2,4,1"
1392077253.0,1392077253.0,"6,2,4,3,1"
1392077253.0,1392077253.0,"6,2,4,1"
1392077254.0,1392077254.0,"6,2,4,3,1"
1392077254.0,1392077254.0,"6,2,4,1"
1392077255.0,1392077255.0,"6,2,4,3,1"
1392077255.0,1392077255.0,"6,2,4,1"
1392077256.0,1392077256.0,"6,2,4,3,1"
1392077256.0,1392077256.0,"6,2,4,1"
1392077257.0,1392077257.0,"6,2,4,3,1"
1392077257.0,1392077257.0,"6,2,4,1"
1392077258.0,1392077258.0,"6,2,4,3,1"
1392077258.0,1392077258.0,"6,2,4,1"
1392077259.0,1392077259.0,"6,2,4,3,1"
1392077259.0,1392077259.0,"6,2,4,1"
1392077260.0,1392077260.0,"6,2,4,3,1"
1392077260.0,1392077260.0,"6,2,4,1"
1392077261.0,1392077261.0,"6,2,4,3,1"
1392077261.0,1392077261.0,"6,2,4,1"
1392077262.0,1392077262.0,"6,2,4,3,1"
1392077262.0,1392077262.0,"6,2,4,1"
1392077263.0,1392077263.0,"6,2,4,3,1"
1392077263.0,1392077263.0,"6,2,4,1"
1392077264.0,1392077264.0,"6,2,4,3,1"
1392077264.0,1392077264.0,"6,2,4,1"
1392077265.0,1392077265.0,"6,2,4,3,1"
1392077265.0,1392077265.0,"6,2,4,1"
1392077266.0,1392077266.0,"6,2,4,3,1"
1392077266.0,1392077266.0,"6,2,4,1"
1392077267.0,1392077267.0,"6,2,4,3,1"
1392077267.0,1392077267.0,"6,2,4,1"
1392077268.0,1392077268.0,"6,2,4,3,1"
1392077268.0,1392077268.0,"6,2,4,1"
1392077269.0,1392077269.0,"6,2,4,3,1"
1392077269.0,1392077269.0,"6,2,4,1"
1392077270.0,1392077270.0,"6,2,4,3,1"
1392077270.0,1392077270.0,"6,2,4,1"
1392077271.0,1392077271.0,"6,2,4,3,1"
1392077271.0,1392077271.0,"6,2,4,1"
1392077272.0,1392077272.0,"6,2,4,3,1"
1392077272.0,1392077272.0,"6,2,4,1"
1392077273.0,1392077273.0,"6,2,4,3,1"
1392077273.0,1392077273.0,"6,2,4,1"
1392077274.0,1392077274.0,"6,2,4,3,1"
1392077274.0,1392077274.0,"6,2,4,1"
1392077275.0,1392077275.0,"6,2,4,3,1"
1392077275.0,1392077275.0,"6,2,4,1"
1392077276.0,1392077276.0,"6,2,4,3,1"
1392077276.0,1392077276.0,"6,2,4,1"
1392077277.0,1392077277.0,"6,2,4,3,1"
1392077277.0,1392077277.0,"6,2,4,1"
1392077278.0,1392077278.0,"6,2,4,3,1"
1392077278.0,1392077278.0,"6,2,4,1"
1392077279.0,1392077279.0,"6,2,4,3,1"
1392077279.0,1392077279.0,"6,2,4,1"
1392077280.0,1392077280.0,"6,2,4,3,1"
1392077280.0,1392077280.0,"6,2,4,1"
1392077281.0,1392077281.0,"6,2,4,3,1"
1392077281.0,1392077281.0,"6,2,4,1"
1392077282.0,1392077282.0,"6,2,4,3,1"
1392077282.0,1392077282.0,"6,2,4,1"
1392077283.0,1392077283.0,"6,2,4,3,1"
1392077283.0,1392077283.0,"6,2,4,1"
1392077284.0,1392077284.0,"6,2,4,3,1"
1392077284.0,1392077284.0,"6,2,4,1"
1392077285.0,1392077285.0,"6,2,4,3,1"
1392077285.0,1392077285.0,"6,2,4,1"
1392077286.0,1392077286.0,"6,2,4,3,1"
1392077286.0,1392077286.0,"6,2,4,1"
1392077287.0,1392077287.0,"6,2,4,3,1"
1392077287.0,1392077287.0,"6,2,4,1"
1392077288.0,1392077288.0,"6,2,4,3,1"
1392077288.0,1392077288.0,"6,2,4,1"
1392077289.0,1392077289.0,"6,2,4,3,1"
1392077289.0,1392077289.0,"6,2,4,1"
1392077290.0,1392077290.0,"6,2,4,3,1"
1392077290.0,1392077290.0,"6,2,4,1"
1392077291.0,1392077291.0,"6,2,4,3,1"
1392077291.0,1392077291.0,"6,2,4,1"
1392077292.0,1392077292.0,"6,2,4,3,1"
1392077292.0,1392077292.0,"6,2,4,1"
1392077293.0,1392077293.0,"6,2,4,3,1"
1392077293.0,1392077293.0,"6,2,4,1"
1392077294.0,1392077294.0,"6,2,4,3,1"
1392077294.0,1392077294.0,"6,2,4,1"
1392077295.0,1392077295.0,"6,2,4,3,1"
1392077295.0,1392077295.0,"6,2,4,1"
1392077296.0,1392077296.0,"6,2,4,3,1"
1392077296.0,1392077296.0,"6,2,4,1"
1392077297.0,1392077297.0,"6,2,4,3,1"
1392077297.0,1392077297.0,"6,2,4,1"
1392077298.0,1392077298.0,"6,2,4,3,1"
1392077298.0,1392077298.0,"6,2,4,1"
1392077299.0,1392077299.0,"6,2,4,3,1"
1392077299.0,1392077299.0,"6,2,4,1"
1392077300.0,1392077300.0,"6,2,4,3,1"
1392077300.0,1392077300.0,"6,2,4,1"
1392077301.0,1392077301.0,"6,2,4,3,1"
1392077301.0,1392077301.0,"6,2,4,1"
1392077302.0,1392077302.0,"6,2,4,3,1"
1392077302.0,1392077302.0,"6,2,4,1"
1392077303.0,1392077303.0,"6,2,4,3,1"
1392077303.0,1392077303.0,"6,2,4,1"
1392077304.0,1392077304.0,"6,2,4,3,1"
1392077304.0,1392077304.0,"6,2,4,1"
1392077305.0,1392077305.0,"6,2,4,3,1"
1392077305.0,1392077305.0,"6,2,4,1"
1392077306.0,1392077306.0,"6,2,4,3,1"
1392077306.0,1392077306.0,"6,2,4,1"
1392077307.0,1392077307.0,"6,2,4,3,1"
1392077307.0,1392077307.0,"6,2,4,1"
1392077308.0,1392077308.0,"6,2,4,3,1"
1392077308.0,1392077308.0,"6,2,4,1"
1392077309.0,1392077309.0,"6,2,4,3,1"
1392077309.0,1392077309.0,"6,2,4,1"
1392077310.0,1392077310.0,"6,2,4,3,1"
1392077310.0,1392077310.0,"6,2,4,1"
1392077311.0,1392077311.0,"6,2,4,3,1"
1392077311.0,1392077311.0,"6,2,4,1"
1392077312.0,1392077312.0,"6,2,4,3,1"
1392077312.0,1392077312.0,"6,2,4,1"
1392077313.0,1392077313.0,"6,2,4,3,1"
1392077313.0,1392077313.0,"6,2,4,1"
1392077314.0,1392077314.0,"6,2,4,3,1"
1392077314.0,1392077314.0,"6,2,4,1"
1392077315.0,1392077315.0,"6,2,4,3,1"
1392077315.0,1392077315.0,"6,2,4,1"
1392077316.0,1392077316.0,"6,2,4,3,1"
1392077316.0,1392077316.0,"6,2,4,1"
1392077317.0,1392077317.0,"6,2,4,3,1"
1392077317.0,1392077317.0,"6,2,4,1"
1392077318.0,1392077318.0,"6,2,4,3,1"
1392077318.0,1392077318.0,"6,2,4,1"
1392077319.0,1392077319.0,"6,2,4,3,1"
1392077319.0,1392077319.0,"6,2,4,1"
1392077320.0,1392077320.0,"6,2,4,3,1"
1392077320.0,1392077320.0,"6,2,4,1"
1392077321.0,1392077321.0,"6,2,4,3,1"
1392077321.0,1392077321.0,"6,2,4,1"
1392077322.0,1392077322.0,"6,2,4,3,1"
1392077322.0,1392077322.0,"6,2,4,1"
1392077323.0,1392077323.0,"6,2,4,3,1"
1392077323.0,1392077323.0,"6,2,4,1"
1392077324.0,1392077324.0,"6,2,4,3,1"
1392077324.0,1392077324.0,"6,2,4,1"
1392077325.0,1392077325.0,"6,2,4,3,1"
1392077325.0,1392077325.0,"6,2,4,1"
1392077326.0,1392077326.0,"6,2,4,3,1"
1392077326.0,1392077326.0,"6,2,4,1"
1392077327.0,1392077327.0,"6,2,4,3,1"
1392077327.0,1392077327.0,"6,2,4,1"
1392077328.0,1392077328.0,"6,2,4,3,1"
1392077328.0,1392077328.0,"6,2,4,1"
1392077329.0,1392077329.0,"6,2,4,3,1"
1392077329.0,1392077329.0,"6,2,4,1"
1392077330.0,1392077330.0,"6,2,4,3,1"
1392077330.0,1392077330.0,"6,2,4,1"
1392077331.0,1392077331.0,"6,2,4,3,1"
1392077331.0,1392077331.0,"6,2,4,1"
