start_time,end_time,room_set
1392079954.0,1392079954.0,"6,2,4,3,1"
1392079954.0,1392079954.0,"6,2,4,1"
1392079955.0,1392079955.0,"6,2,4,3,1"
1392079955.0,1392079955.0,"6,2,4,1"
1392079956.0,1392079956.0,"6,2,4,3,1"
1392079956.0,1392079956.0,"6,2,4,1"
1392079957.0,1392079957.0,"6,2,4,3,1"
1392079957.0,1392079957.0,"6,2,4,1"
1392079958.0,1392079958.0,"6,2,4,3,1"
1392079958.0,1392079958.0,"6,2,4,1"
1392079959.0,1392079959.0,"6,2,4,3,1"
1392079959.0,1392079959.0,"6,2,4,1"
1392079960.0,1392079960.0,"6,2,4,3,1"
1392079960.0,1392079960.0,"6,2,4,1"
1392079961.0,1392079961.0,"6,2,4,3,1"
1392079961.0,1392079961.0,"6,2,4,1"
1392079962.0,1392079962.0,"6,2,4,3,1"
1392079962.0,1392079962.0,"6,2,4,1"
1392079963.0,1392079963.0,"6,2,4,3,1"
1392079963.0,1392079963.0,"6,2,4,1"
1392079964.0,1392079964.0,"6,2,4,3,1"
1392079964.0,1392079964.0,"6,2,4,1"
1392079965.0,1392079965.0,"6,2,4,3,1"
1392079965.0,1392079965.0,"6,2,4,1"
1392079966.0,1392079966.0,"6,2,4,3,1"
1392079966.0,1392079966.0,"6,2,4,1"
1392079967.0,1392079967.0,"6,2,4,3,1"
1392079967.0,1392079967.0,"6,2,4,1"
1392079968.0,1392079968.0,"6,2,4,3,1"
1392079968.0,1392079968.0,"6,2,4,1"
1392079969.0,1392079969.0,"6,2,4,3,1"
1392079969.0,1392079969.0,"6,2,4,1"
1392079970.0,1392079970.0,"6,2,4,3,1"
1392079970.0,1392079970.0,"6,2,4,1"
1392079971.0,1392079971.0,"6,2,4,3,1"
1392079971.0,1392079971.0,"6,2,4,1"
1392079972.0,1392079972.0,"6,2,4,3,1"
1392079972.0,1392079972.0,"6,2,4,1"
1392079973.0,1392079973.0,"6,2,4,3,1"
1392079973.0,1392079973.0,"6,2,4,1"
1392079974.0,1392079974.0,"6,2,4,3,1"
1392079974.0,1392079974.0,"6,2,4,1"
1392079975.0,1392079975.0,"6,2,4,3,1"
1392079975.0,1392079975.0,"6,2,4,1"
1392079976.0,1392079976.0,"6,2,4,3,1"
1392079976.0,1392079976.0,"6,2,4,1"
1392079977.0,1392079977.0,"6,2,4,3,1"
1392079977.0,1392079977.0,"6,2,4,1"
1392079978.0,1392079978.0,"6,2,4,3,1"
1392079978.0,1392079978.0,"6,2,4,1"
1392079979.0,1392079979.0,"6,2,4,3,1"
1392079979.0,1392079979.0,"6,2,4,1"
1392079980.0,1392079980.0,"6,2,4,3,1"
1392079980.0,1392079980.0,"6,2,4,1"
1392079981.0,1392079981.0,"6,2,4,3,1"
1392079981.0,1392079981.0,"6,2,4,1"
1392079982.0,1392079982.0,"6,2,4,3,1"
1392079982.0,1392079982.0,"6,2,4,1"
1392079983.0,1392079983.0,"6,2,4,3,1"
1392079983.0,1392079983.0,"6,2,4,1"
1392079984.0,1392079984.0,"6,2,4,3,1"
1392079984.0,1392079984.0,"6,2,4,1"
1392079985.0,1392079985.0,"6,2,4,3,1"
1392079985.0,1392079985.0,"6,2,4,1"
1392079986.0,1392079986.0,"6,2,4,3,1"
1392079986.0,1392079986.0,"6,2,4,1"
1392079987.0,1392079987.0,"6,2,4,3,1"
1392079987.0,1392079987.0,"6,2,4,1"
1392079988.0,1392079988.0,"6,2,4,3,1"
1392079988.0,1392079988.0,"6,2,4,1"
1392079989.0,1392079989.0,"6,2,4,3,1"
1392079989.0,1392079989.0,"6,2,4,1"
1392079990.0,1392079990.0,"6,2,4,3,1"
1392079990.0,1392079990.0,"6,2,4,1"
1392079991.0,1392079991.0,"6,2,4,3,1"
1392079991.0,1392079991.0,"6,2,4,1"
1392079992.0,1392079992.0,"6,2,4,3,1"
1392079992.0,1392079992.0,"6,2,4,1"
1392079993.0,1392079993.0,"6,2,4,3,1"
1392079993.0,1392079993.0,"6,2,4,1"
1392079994.0,1392079994.0,"6,2,4,3,1"
1392079994.0,1392079994.0,"6,2,4,1"
1392079995.0,1392079995.0,"6,2,4,3,1"
1392079995.0,1392079995.0,"6,2,4,1"
1392079996.0,1392079996.0,"6,2,4,3,1"
1392079996.0,1392079996.0,"6,2,4,1"
1392079997.0,1392079997.0,"6,2,4,3,1"
1392079997.0,1392079997.0,"6,2,4,1"
1392079998.0,1392079998.0,"6,2,4,3,1"
1392079998.0,1392079998.0,"6,2,4,1"
1392079999.0,1392079999.0,"6,2,4,3,1"
1392079999.0,1392079999.0,"6,2,4,1"
1392080000.0,1392080000.0,"6,2,4,3,1"
1392080000.0,1392080000.0,"6,2,4,1"
1392080001.0,1392080001.0,"6,2,4,3,1"
1392080001.0,1392080001.0,"6,2,4,1"
1392080002.0,1392080002.0,"6,2,4,3,1"
1392080002.0,1392080002.0,"6,2,4,1"
1392080003.0,1392080003.0,"6,2,4,3,1"
1392080003.0,1392080003.0,"6,2,4,1"
1392080004.0,1392080004.0,"6,2,4,3,1"
1392080004.0,1392080004.0,"6,2,4,1"
1392080005.0,1392080005.0,"6,2,4,3,1"
1392080005.0,1392080005.0,"6,2,4,1"
1392080006.0,1392080006.0,"6,2,4,3,1"
1392080006.0,1392080006.0,"6,2,4,1"
1392080007.0,1392080007.0,"6,2,4,3,1"
1392080007.0,1392080007.0,"6,2,4,1"
1392080008.0,1392080008.0,"6,2,4,3,1"
1392080008.0,1392080008.0,"6,2,4,1"
1392080009.0,1392080009.0,"6,2,4,3,1"
1392080009.0,1392080009.0,"6,2,4,1"
1392080010.0,1392080010.0,"6,2,4,3,1"
1392080010.0,1392080010.0,"6,2,4,1"
1392080011.0,1392080011.0,"6,2,4,3,1"
1392080011.0,1392080011.0,"6,2,4,1"
1392080012.0,1392080012.0,"6,2,4,3,1"
1392080012.0,1392080012.0,"6,2,4,1"
1392080013.0,1392080013.0,"6,2,4,3,1"
1392080013.0,1392080013.0,"6,2,4,1"
1392080014.0,1392080014.0,"6,2,4,3,1"
1392080014.0,1392080014.0,"6,2,4,1"
1392080015.0,1392080015.0,"6,2,4,3,1"
1392080015.0,1392080015.0,"6,2,4,1"
1392080016.0,1392080016.0,"6,2,4,3,1"
1392080016.0,1392080016.0,"6,2,4,1"
1392080017.0,1392080017.0,"6,2,4,3,1"
1392080017.0,1392080017.0,"6,2,4,1"
1392080018.0,1392080018.0,"6,2,4,3,1"
1392080018.0,1392080018.0,"6,2,4,1"
1392080019.0,1392080019.0,"6,2,4,3,1"
1392080019.0,1392080019.0,"6,2,4,1"
1392080020.0,1392080020.0,"6,2,4,3,1"
1392080020.0,1392080020.0,"6,2,4,1"
1392080021.0,1392080021.0,"6,2,4,3,1"
1392080021.0,1392080021.0,"6,2,4,1"
1392080022.0,1392080022.0,"6,2,4,3,1"
1392080022.0,1392080022.0,"6,2,4,1"
1392080023.0,1392080023.0,"6,2,4,3,1"
1392080023.0,1392080023.0,"6,2,4,1"
1392080024.0,1392080024.0,"6,2,4,3,1"
1392080024.0,1392080024.0,"6,2,4,1"
1392080025.0,1392080025.0,"6,2,4,3,1"
1392080025.0,1392080025.0,"6,2,4,1"
1392080026.0,1392080026.0,"6,2,4,3,1"
1392080026.0,1392080026.0,"6,2,4,1"
1392080027.0,1392080027.0,"6,2,4,3,1"
1392080027.0,1392080027.0,"6,2,4,1"
1392080028.0,1392080028.0,"6,2,4,3,1"
1392080028.0,1392080028.0,"6,2,4,1"
1392080029.0,1392080029.0,"6,2,4,3,1"
1392080029.0,1392080029.0,"6,2,4,1"
1392080030.0,1392080030.0,"6,2,4,3,1"
1392080030.0,1392080030.0,"6,2,4,1"
1392080031.0,1392080031.0,"6,2,4,3,1"
1392080031.0,1392080031.0,"6,2,4,1"
1392080032.0,1392080032.0,"6,2,4,3,1"
1392080032.0,1392080032.0,"6,2,4,1"
1392080033.0,1392080033.0,"6,2,4,3,1"
1392080033.0,1392080033.0,"6,2,4,1"
1392080034.0,1392080034.0,"6,2,4,3,1"
1392080034.0,1392080034.0,"6,2,4,1"
1392080035.0,1392080035.0,"6,2,4,3,1"
1392080035.0,1392080035.0,"6,2,4,1"
1392080036.0,1392080036.0,"6,2,4,3,1"
1392080036.0,1392080036.0,"6,2,4,1"
1392080037.0,1392080037.0,"6,2,4,3,1"
1392080037.0,1392080037.0,"6,2,4,1"
1392080038.0,1392080038.0,"6,2,4,3,1"
1392080038.0,1392080038.0,"6,2,4,1"
1392080039.0,1392080039.0,"6,2,4,3,1"
1392080039.0,1392080039.0,"6,2,4,1"
1392080040.0,1392080040.0,"6,2,4,3,1"
1392080040.0,1392080040.0,"6,2,4,1"
1392080041.0,1392080041.0,"6,2,4,3,1"
1392080041.0,1392080041.0,"6,2,4,1"
1392080042.0,1392080042.0,"6,2,4,3,1"
1392080042.0,1392080042.0,"6,2,4,1"
1392080043.0,1392080043.0,"6,2,4,3,1"
1392080043.0,1392080043.0,"6,2,4,1"
1392080044.0,1392080044.0,"6,2,4,3,1"
1392080044.0,1392080044.0,"6,2,4,1"
1392080045.0,1392080045.0,"6,2,4,3,1"
1392080045.0,1392080045.0,"6,2,4,1"
1392080046.0,1392080046.0,"6,2,4,3,1"
1392080046.0,1392080046.0,"6,2,4,1"
1392080047.0,1392080047.0,"6,2,4,3,1"
1392080047.0,1392080047.0,"6,2,4,1"
1392080048.0,1392080048.0,"6,2,4,3,1"
1392080048.0,1392080048.0,"6,2,4,1"
1392080049.0,1392080049.0,"6,2,4,3,1"
1392080049.0,1392080049.0,"6,2,4,1"
1392080050.0,1392080050.0,"6,2,4,3,1"
1392080050.0,1392080050.0,"6,2,4,1"
1392080051.0,1392080051.0,"6,2,4,3,1"
1392080051.0,1392080051.0,"6,2,4,1"
1392080052.0,1392080052.0,"6,2,4,3,1"
1392080052.0,1392080052.0,"6,2,4,1"
1392080053.0,1392080053.0,"6,2,4,3,1"
1392080053.0,1392080053.0,"6,2,4,1"
1392080054.0,1392080054.0,"6,2,4,3,1"
1392080054.0,1392080054.0,"6,2,4,1"
1392080055.0,1392080055.0,"6,2,4,3,1"
1392080055.0,1392080055.0,"6,2,4,1"
1392080056.0,1392080056.0,"6,2,4,3,1"
1392080056.0,1392080056.0,"6,2,4,1"
1392080057.0,1392080057.0,"6,2,4,3,1"
1392080057.0,1392080057.0,"6,2,4,1"
1392080058.0,1392080058.0,"6,2,4,3,1"
1392080058.0,1392080058.0,"6,2,4,1"
1392080059.0,1392080059.0,"6,2,4,3,1"
1392080059.0,1392080059.0,"6,2,4,1"
1392080060.0,1392080060.0,"6,2,4,3,1"
1392080060.0,1392080060.0,"6,2,4,1"
1392080061.0,1392080061.0,"6,2,4,3,1"
1392080061.0,1392080061.0,"6,2,4,1"
1392080062.0,1392080062.0,"6,2,4,3,1"
1392080062.0,1392080062.0,"6,2,4,1"
1392080063.0,1392080063.0,"6,2,4,3,1"
1392080063.0,1392080063.0,"6,2,4,1"
1392080064.0,1392080064.0,"6,2,4,3,1"
1392080064.0,1392080064.0,"6,2,4,1"
1392080065.0,1392080065.0,"6,2,4,3,1"
1392080065.0,1392080065.0,"6,2,4,1"
1392080066.0,1392080066.0,"6,2,4,3,1"
1392080066.0,1392080066.0,"6,2,4,1"
1392080067.0,1392080067.0,"6,2,4,3,1"
1392080067.0,1392080067.0,"6,2,4,1"
1392080068.0,1392080068.0,"6,2,4,3,1"
1392080068.0,1392080068.0,"6,2,4,1"
1392080069.0,1392080069.0,"6,2,4,3,1"
1392080069.0,1392080069.0,"6,2,4,1"
1392080070.0,1392080070.0,"6,2,4,3,1"
1392080070.0,1392080070.0,"6,2,4,1"
1392080071.0,1392080071.0,"6,2,4,3,1"
1392080071.0,1392080071.0,"6,2,4,1"
1392080072.0,1392080072.0,"6,2,4,3,1"
1392080072.0,1392080072.0,"6,2,4,1"
1392080073.0,1392080073.0,"6,2,4,3,1"
1392080073.0,1392080073.0,"6,2,4,1"
1392080074.0,1392080074.0,"6,2,4,3,1"
1392080074.0,1392080074.0,"6,2,4,1"
1392080075.0,1392080075.0,"6,2,4,3,1"
1392080075.0,1392080075.0,"6,2,4,1"
1392080076.0,1392080076.0,"6,2,4,3,1"
1392080076.0,1392080076.0,"6,2,4,1"
1392080077.0,1392080077.0,"6,2,4,3,1"
1392080077.0,1392080077.0,"6,2,4,1"
1392080078.0,1392080078.0,"6,2,4,3,1"
1392080078.0,1392080078.0,"6,2,4,1"
1392080079.0,1392080079.0,"6,2,4,3,1"
1392080079.0,1392080079.0,"6,2,4,1"
1392080080.0,1392080080.0,"6,2,4,3,1"
1392080080.0,1392080080.0,"6,2,4,1"
1392080081.0,1392080081.0,"6,2,4,3,1"
1392080081.0,1392080081.0,"6,2,4,1"
1392080082.0,1392080082.0,"6,2,4,3,1"
1392080082.0,1392080082.0,"6,2,4,1"
1392080083.0,1392080083.0,"6,2,4,3,1"
1392080083.0,1392080083.0,"6,2,4,1"
1392080084.0,1392080084.0,"6,2,4,3,1"
1392080084.0,1392080084.0,"6,2,4,1"
1392080085.0,1392080085.0,"6,2,4,3,1"
1392080085.0,1392080085.0,"6,2,4,1"
1392080086.0,1392080086.0,"6,2,4,3,1"
1392080086.0,1392080086.0,"6,2,4,1"
1392080087.0,1392080087.0,"6,2,4,3,1"
1392080087.0,1392080087.0,"6,2,4,1"
1392080088.0,1392080088.0,"6,2,4,3,1"
1392080088.0,1392080088.0,"6,2,4,1"
1392080089.0,1392080089.0,"6,2,4,3,1"
1392080089.0,1392080089.0,"6,2,4,1"
1392080090.0,1392080090.0,"6,2,4,3,1"
1392080090.0,1392080090.0,"6,2,4,1"
1392080091.0,1392080091.0,"6,2,4,3,1"
1392080091.0,1392080091.0,"6,2,4,1"
1392080092.0,1392080092.0,"6,2,4,3,1"
1392080092.0,1392080092.0,"6,2,4,1"
1392080093.0,1392080093.0,"6,2,4,3,1"
1392080093.0,1392080093.0,"6,2,4,1"
1392080094.0,1392080094.0,"6,2,4,3,1"
1392080094.0,1392080094.0,"6,2,4,1"
1392080095.0,1392080095.0,"6,2,4,3,1"
1392080095.0,1392080095.0,"6,2,4,1"
1392080096.0,1392080096.0,"6,2,4,3,1"
1392080096.0,1392080096.0,"6,2,4,1"
1392080097.0,1392080097.0,"6,2,4,3,1"
1392080097.0,1392080097.0,"6,2,4,1"
1392080098.0,1392080098.0,"6,2,4,3,1"
1392080098.0,1392080098.0,"6,2,4,1"
1392080099.0,1392080099.0,"6,2,4,3,1"
1392080099.0,1392080099.0,"6,2,4,1"
1392080100.0,1392080100.0,"6,2,4,3,1"
1392080100.0,1392080100.0,"6,2,4,1"
1392080101.0,1392080101.0,"6,2,4,3,1"
1392080101.0,1392080101.0,"6,2,4,1"
1392080102.0,1392080102.0,"6,2,4,3,1"
1392080102.0,1392080102.0,"6,2,4,1"
1392080103.0,1392080103.0,"6,2,4,3,1"
1392080103.0,1392080103.0,"6,2,4,1"
1392080104.0,1392080104.0,"6,2,4,3,1"
1392080104.0,1392080104.0,"6,2,4,1"
1392080105.0,1392080105.0,"6,2,4,3,1"
1392080105.0,1392080105.0,"6,2,4,1"
1392080106.0,1392080106.0,"6,2,4,3,1"
1392080106.0,1392080106.0,"6,2,4,1"
1392080107.0,1392080107.0,"6,2,4,3,1"
1392080107.0,1392080107.0,"6,2,4,1"
1392080108.0,1392080108.0,"6,2,4,3,1"
1392080108.0,1392080108.0,"6,2,4,1"
1392080109.0,1392080109.0,"6,2,4,3,1"
1392080109.0,1392080109.0,"6,2,4,1"
1392080110.0,1392080110.0,"6,2,4,3,1"
1392080110.0,1392080110.0,"6,2,4,1"
1392080111.0,1392080111.0,"6,2,4,3,1"
1392080111.0,1392080111.0,"6,2,4,1"
1392080112.0,1392080112.0,"6,2,4,3,1"
1392080112.0,1392080112.0,"6,2,4,1"
1392080113.0,1392080113.0,"6,2,4,3,1"
1392080113.0,1392080113.0,"6,2,4,1"
1392080114.0,1392080114.0,"6,2,4,3,1"
1392080114.0,1392080114.0,"6,2,4,1"
1392080115.0,1392080115.0,"6,2,4,3,1"
1392080115.0,1392080115.0,"6,2,4,1"
1392080116.0,1392080116.0,"6,2,4,3,1"
1392080116.0,1392080116.0,"6,2,4,1"
1392080117.0,1392080117.0,"6,2,4,3,1"
1392080117.0,1392080117.0,"6,2,4,1"
1392080118.0,1392080118.0,"6,2,4,3,1"
1392080118.0,1392080118.0,"6,2,4,1"
1392080119.0,1392080119.0,"6,2,4,3,1"
1392080119.0,1392080119.0,"6,2,4,1"
1392080120.0,1392080120.0,"6,2,4,3,1"
1392080120.0,1392080120.0,"6,2,4,1"
1392080121.0,1392080121.0,"6,2,4,3,1"
1392080121.0,1392080121.0,"6,2,4,1"
1392080122.0,1392080122.0,"6,2,4,3,1"
1392080122.0,1392080122.0,"6,2,4,1"
1392080123.0,1392080123.0,"6,2,4,3,1"
1392080123.0,1392080123.0,"6,2,4,1"
1392080124.0,1392080124.0,"6,2,4,3,1"
1392080124.0,1392080124.0,"6,2,4,1"
1392080125.0,1392080125.0,"6,2,4,3,1"
1392080125.0,1392080125.0,"6,2,4,1"
1392080126.0,1392080126.0,"6,2,4,3,1"
1392080126.0,1392080126.0,"6,2,4,1"
1392080127.0,1392080127.0,"6,2,4,3,1"
1392080127.0,1392080127.0,"6,2,4,1"
1392080128.0,1392080128.0,"6,2,4,3,1"
1392080128.0,1392080128.0,"6,2,4,1"
1392080129.0,1392080129.0,"6,2,4,3,1"
1392080129.0,1392080129.0,"6,2,4,1"
1392080130.0,1392080130.0,"6,2,4,3,1"
1392080130.0,1392080130.0,"6,2,4,1"
1392080131.0,1392080131.0,"6,2,4,3,1"
1392080131.0,1392080131.0,"6,2,4,1"
1392080132.0,1392080132.0,"6,2,4,3,1"
1392080132.0,1392080132.0,"6,2,4,1"
1392080133.0,1392080133.0,"6,2,4,3,1"
1392080133.0,1392080133.0,"6,2,4,1"
1392080134.0,1392080134.0,"6,2,4,3,1"
1392080134.0,1392080134.0,"6,2,4,1"
1392080135.0,1392080135.0,"6,2,4,3,1"
1392080135.0,1392080135.0,"6,2,4,1"
1392080136.0,1392080136.0,"6,2,4,3,1"
1392080136.0,1392080136.0,"6,2,4,1"
1392080137.0,1392080137.0,"6,2,4,3,1"
1392080137.0,1392080137.0,"6,2,4,1"
1392080138.0,1392080138.0,"6,2,4,3,1"
1392080138.0,1392080138.0,"6,2,4,1"
1392080139.0,1392080139.0,"6,2,4,3,1"
1392080139.0,1392080139.0,"6,2,4,1"
1392080140.0,1392080140.0,"6,2,4,3,1"
1392080140.0,1392080140.0,"6,2,4,1"
1392080141.0,1392080141.0,"6,2,4,3,1"
1392080141.0,1392080141.0,"6,2,4,1"
1392080142.0,1392080142.0,"6,2,4,3,1"
1392080142.0,1392080142.0,"6,2,4,1"
1392080143.0,1392080143.0,"6,2,4,3,1"
1392080143.0,1392080143.0,"6,2,4,1"
1392080144.0,1392080144.0,"6,2,4,3,1"
1392080144.0,1392080144.0,"6,2,4,1"
1392080145.0,1392080145.0,"6,2,4,3,1"
1392080145.0,1392080145.0,"6,2,4,1"
1392080146.0,1392080146.0,"6,2,4,3,1"
1392080146.0,1392080146.0,"6,2,4,1"
1392080147.0,1392080147.0,"6,2,4,3,1"
1392080147.0,1392080147.0,"6,2,4,1"
1392080148.0,1392080148.0,"6,2,4,3,1"
1392080148.0,1392080148.0,"6,2,4,1"
1392080149.0,1392080149.0,"6,2,4,3,1"
1392080149.0,1392080149.0,"6,2,4,1"
1392080150.0,1392080150.0,"6,2,4,3,1"
1392080150.0,1392080150.0,"6,2,4,1"
1392080151.0,1392080151.0,"6,2,4,3,1"
1392080151.0,1392080151.0,"6,2,4,1"
1392080152.0,1392080152.0,"6,2,4,3,1"
1392080152.0,1392080152.0,"6,2,4,1"
1392080153.0,1392080153.0,"6,2,4,3,1"
1392080153.0,1392080153.0,"6,2,4,1"
1392080154.0,1392080154.0,"6,2,4,3,1"
1392080154.0,1392080154.0,"6,2,4,1"
1392080155.0,1392080155.0,"6,2,4,3,1"
1392080155.0,1392080155.0,"6,2,4,1"
1392080156.0,1392080156.0,"6,2,4,3,1"
