start_time,end_time,room_set
1392084954.0,1392084954.0,"6,2,4,3,1"
1392084954.0,1392084954.0,"6,2,4,1"
1392084955.0,1392084955.0,"6,2,4,3,1"
1392084955.0,1392084955.0,"6,2,4,1"
1392084956.0,1392084956.0,"6,2,4,3,1"
1392084956.0,1392084956.0,"6,2,4,1"
1392084957.0,1392084957.0,"6,2,4,3,1"
1392084957.0,1392084957.0,"6,2,4,1"
1392084958.0,1392084958.0,"6,2,4,3,1"
1392084958.0,1392084958.0,"6,2,4,1"
1392084959.0,1392084959.0,"6,2,4,3,1"
1392084959.0,1392084959.0,"6,2,4,1"
1392084960.0,1392084960.0,"6,2,4,3,1"
1392084960.0,1392084960.0,"6,2,4,1"
1392084961.0,1392084961.0,"6,2,4,3,1"
1392084961.0,1392084961.0,"6,2,4,1"
1392084962.0,1392084962.0,"6,2,4,3,1"
1392084962.0,1392084962.0,"6,2,4,1"
1392084963.0,1392084963.0,"6,2,4,3,1"
1392084963.0,1392084963.0,"6,2,4,1"
1392084964.0,1392084964.0,"6,2,4,3,1"
1392084964.0,1392084964.0,"6,2,4,1"
1392084965.0,1392084965.0,"6,2,4,3,1"
1392084965.0,1392084965.0,"6,2,4,1"
1392084966.0,1392084966.0,"6,2,4,3,1"
1392084966.0,1392084966.0,"6,2,4,1"
1392084967.0,1392084967.0,"6,2,4,3,1"
1392084967.0,1392084967.0,"6,2,4,1"
1392084968.0,1392084968.0,"6,2,4,3,1"
1392084968.0,1392084968.0,"6,2,4,1"
1392084969.0,1392084969.0,"6,2,4,3,1"
1392084969.0,1392084969.0,"6,2,4,1"
1392084970.0,1392084970.0,"6,2,4,3,1"
1392084970.0,1392084970.0,"6,2,4,1"
1392084971.0,1392084971.0,"6,2,4,3,1"
1392084971.0,1392084971.0,"6,2,4,1"
1392084972.0,1392084972.0,"6,2,4,3,1"
1392084972.0,1392084972.0,"6,2,4,1"
1392084973.0,1392084973.0,"6,2,4,3,1"
1392084973.0,1392084973.0,"6,2,4,1"
1392084974.0,1392084974.0,"6,2,4,3,1"
1392084974.0,1392084974.0,"6,2,4,1"
1392084975.0,1392084975.0,"6,2,4,3,1"
1392084975.0,1392084975.0,"6,2,4,1"
1392084976.0,1392084976.0,"6,2,4,3,1"
1392084976.0,1392084976.0,"6,2,4,1"
1392084977.0,1392084977.0,"6,2,4,3,1"
1392084977.0,1392084977.0,"6,2,4,1"
1392084978.0,1392084978.0,"6,2,4,3,1"
1392084978.0,1392084978.0,"6,2,4,1"
1392084979.0,1392084979.0,"6,2,4,3,1"
1392084979.0,1392084979.0,"6,2,4,1"
1392084980.0,1392084980.0,"6,2,4,3,1"
1392084980.0,1392084980.0,"6,2,4,1"
