start_time,end_time,room_set
1392099779.0,1392099779.0,"4,1"
1392099779.0,1392099779.0,1
1392099780.0,1392099780.0,"4,1"
1392099780.0,1392099780.0,1
1392099781.0,1392099781.0,"4,1"
1392099781.0,1392099781.0,1
1392099782.0,1392099782.0,"4,1"
1392099782.0,1392099782.0,1
1392099783.0,1392099783.0,"4,1"
1392099783.0,1392099783.0,1
1392099784.0,1392099784.0,"4,1"
1392099784.0,1392099784.0,1
1392099785.0,1392099785.0,"4,1"
1392099785.0,1392099785.0,1
1392099786.0,1392099786.0,"4,1"
1392099786.0,1392099786.0,1
1392099787.0,1392099787.0,"4,1"
1392099787.0,1392099787.0,1
1392099788.0,1392099788.0,"4,1"
1392099788.0,1392099788.0,1
1392099789.0,1392099789.0,"4,1"
1392099789.0,1392099789.0,1
1392099790.0,1392099790.0,"4,1"
1392099790.0,1392099790.0,1
1392099791.0,1392099791.0,"4,1"
1392099791.0,1392099791.0,1
1392099792.0,1392099792.0,"4,1"
1392099792.0,1392099792.0,1
1392099793.0,1392099793.0,"4,1"
1392099793.0,1392099793.0,1
1392099794.0,1392099794.0,"4,1"
1392099794.0,1392099794.0,1
1392099795.0,1392099795.0,"4,1"
1392099795.0,1392099795.0,1
1392099796.0,1392099796.0,"4,1"
1392099796.0,1392099796.0,1
1392099797.0,1392099797.0,"4,1"
1392099797.0,1392099797.0,1
1392099798.0,1392099798.0,"4,1"
1392099798.0,1392099798.0,1
1392099799.0,1392099799.0,"4,1"
1392099799.0,1392099799.0,1
1392099800.0,1392099800.0,"4,1"
1392099800.0,1392099800.0,1
1392099801.0,1392099801.0,"4,1"
1392099801.0,1392099801.0,1
1392099802.0,1392099802.0,"4,1"
1392099802.0,1392099802.0,1
1392099803.0,1392099803.0,"4,1"
1392099803.0,1392099803.0,1
1392099804.0,1392099804.0,"4,1"
1392099804.0,1392099804.0,1
1392099805.0,1392099805.0,"4,1"
1392099805.0,1392099805.0,1
1392099806.0,1392099806.0,"4,1"
1392099806.0,1392099806.0,1
1392099807.0,1392099807.0,"4,1"
1392099807.0,1392099807.0,1
1392099808.0,1392099808.0,"4,1"
1392099808.0,1392099808.0,1
1392099809.0,1392099809.0,"4,1"
1392099809.0,1392099809.0,1
1392099810.0,1392099810.0,"4,1"
1392099810.0,1392099810.0,1
1392099811.0,1392099811.0,"4,1"
1392099811.0,1392099811.0,1
1392099812.0,1392099812.0,"4,1"
1392099812.0,1392099812.0,1
1392099813.0,1392099813.0,"4,1"
1392099813.0,1392099813.0,1
1392099814.0,1392099814.0,"4,1"
1392099814.0,1392099814.0,1
1392099815.0,1392099815.0,"4,1"
1392099815.0,1392099815.0,1
1392099816.0,1392099816.0,"4,1"
1392099816.0,1392099816.0,1
1392099817.0,1392099817.0,"4,1"
1392099817.0,1392099817.0,1
1392099818.0,1392099818.0,"4,1"
1392099818.0,1392099818.0,1
1392099819.0,1392099819.0,"4,1"
1392099819.0,1392099819.0,1
1392099820.0,1392099820.0,"4,1"
1392099820.0,1392099820.0,1
1392099821.0,1392099821.0,"4,1"
1392099821.0,1392099821.0,1
1392099822.0,1392099822.0,"4,1"
1392099822.0,1392099822.0,1
1392099823.0,1392099823.0,"4,1"
1392099823.0,1392099823.0,1
1392099824.0,1392099824.0,"4,1"
1392099824.0,1392099824.0,1
1392099825.0,1392099825.0,"4,1"
1392099825.0,1392099825.0,1
1392099826.0,1392099826.0,"4,1"
1392099826.0,1392099826.0,1
1392099827.0,1392099827.0,"4,1"
1392099827.0,1392099827.0,1
1392099828.0,1392099828.0,"4,1"
1392099828.0,1392099828.0,1
1392099829.0,1392099829.0,"4,1"
1392099829.0,1392099829.0,1
1392099830.0,1392099830.0,"4,1"
1392099830.0,1392099830.0,1
1392099831.0,1392099831.0,"4,1"
1392099831.0,1392099831.0,1
1392099832.0,1392099832.0,"4,1"
1392099832.0,1392099832.0,1
1392099833.0,1392099833.0,"4,1"
1392099833.0,1392099833.0,1
1392099834.0,1392099834.0,"4,1"
1392099834.0,1392099834.0,1
1392099835.0,1392099835.0,"4,1"
1392099835.0,1392099835.0,1
1392099836.0,1392099836.0,"4,1"
1392099836.0,1392099836.0,1
1392099837.0,1392099837.0,"4,1"
1392099837.0,1392099837.0,1
1392099838.0,1392099838.0,"4,1"
1392099838.0,1392099838.0,1
1392099839.0,1392099839.0,"4,1"
1392099839.0,1392099839.0,1
1392099840.0,1392099840.0,"4,1"
1392099840.0,1392099840.0,1
1392099841.0,1392099841.0,"4,1"
1392099841.0,1392099841.0,1
1392099842.0,1392099842.0,"4,1"
1392099842.0,1392099842.0,1
1392099843.0,1392099843.0,"4,1"
1392099843.0,1392099843.0,1
1392099844.0,1392099844.0,"4,1"
1392099844.0,1392099844.0,1
1392099845.0,1392099845.0,"4,1"
1392099845.0,1392099845.0,1
1392099846.0,1392099846.0,"4,1"
1392099846.0,1392099846.0,1
1392099847.0,1392099847.0,"4,1"
1392099847.0,1392099847.0,1
1392099848.0,1392099848.0,"4,1"
1392099848.0,1392099848.0,1
1392099849.0,1392099849.0,"4,1"
1392099849.0,1392099849.0,1
1392099850.0,1392099850.0,"4,1"
1392099850.0,1392099850.0,1
1392099851.0,1392099851.0,"4,1"
1392099851.0,1392099851.0,1
1392099852.0,1392099852.0,"4,1"
1392099852.0,1392099852.0,1
1392099853.0,1392099853.0,"4,1"
1392099853.0,1392099853.0,1
1392099854.0,1392099854.0,"4,1"
1392099854.0,1392099854.0,1
1392099855.0,1392099855.0,"4,1"
1392099855.0,1392099855.0,1
1392099856.0,1392099856.0,"4,1"
1392099856.0,1392099856.0,1
1392099857.0,1392099857.0,"4,1"
1392099857.0,1392099857.0,1
1392099858.0,1392099858.0,"4,1"
1392099858.0,1392099858.0,1
1392099859.0,1392099859.0,"4,1"
1392099859.0,1392099859.0,1
1392099860.0,1392099860.0,"4,1"
1392099860.0,1392099860.0,1
1392099861.0,1392099861.0,"4,1"
1392099861.0,1392099861.0,1
1392099862.0,1392099862.0,"4,1"
1392099862.0,1392099862.0,1
1392099863.0,1392099863.0,"4,1"
1392099863.0,1392099863.0,1
1392099864.0,1392099864.0,"4,1"
1392099864.0,1392099864.0,1
1392099865.0,1392099865.0,"4,1"
1392099865.0,1392099865.0,1
1392099866.0,1392099866.0,"4,1"
1392099866.0,1392099866.0,1
1392099867.0,1392099867.0,"4,1"
1392099867.0,1392099867.0,1
1392099868.0,1392099868.0,"4,1"
1392099868.0,1392099868.0,1
1392099869.0,1392099869.0,"4,1"
1392099869.0,1392099869.0,1
1392099870.0,1392099870.0,"4,1"
1392099870.0,1392099870.0,1
1392099871.0,1392099871.0,"4,1"
1392099871.0,1392099871.0,1
1392099872.0,1392099872.0,"4,1"
1392099872.0,1392099872.0,1
1392099873.0,1392099873.0,"4,1"
1392099873.0,1392099873.0,1
1392099874.0,1392099874.0,"4,1"
1392099874.0,1392099874.0,1
1392099875.0,1392099875.0,"4,1"
