start_time,end_time,room_set
1392107010.0,1392107010.0,3
1392107011.0,1392107011.0,"5,4,3"
1392107011.0,1392107011.0,"5,4"
1392107011.0,1392107011.0,"5,3"
1392107011.0,1392107011.0,5
1392107011.0,1392107011.0,"4,3"
1392107011.0,1392107011.0,4
1392107011.0,1392107011.0,3
1392107012.0,1392107012.0,"5,4,3"
1392107012.0,1392107012.0,"5,4"
1392107012.0,1392107012.0,"5,3"
1392107012.0,1392107012.0,5
1392107012.0,1392107012.0,"4,3"
1392107012.0,1392107012.0,4
1392107012.0,1392107012.0,3
1392107013.0,1392107013.0,"5,4,3"
1392107013.0,1392107013.0,"5,4"
1392107013.0,1392107013.0,"5,3"
1392107013.0,1392107013.0,5
1392107013.0,1392107013.0,"4,3"
1392107013.0,1392107013.0,4
1392107013.0,1392107013.0,3
1392107014.0,1392107014.0,"5,4,3"
1392107014.0,1392107014.0,"5,4"
1392107014.0,1392107014.0,"5,3"
1392107014.0,1392107014.0,5
1392107014.0,1392107014.0,"4,3"
1392107014.0,1392107014.0,4
1392107014.0,1392107014.0,3
1392107015.0,1392107015.0,"5,4,3"
1392107015.0,1392107015.0,"5,4"
1392107015.0,1392107015.0,"5,3"
1392107015.0,1392107015.0,5
1392107015.0,1392107015.0,"4,3"
1392107015.0,1392107015.0,4
1392107015.0,1392107015.0,3
1392107016.0,1392107016.0,"5,4,3"
1392107016.0,1392107016.0,"5,4"
1392107016.0,1392107016.0,"5,3"
1392107016.0,1392107016.0,5
1392107016.0,1392107016.0,"4,3"
1392107016.0,1392107016.0,4
1392107016.0,1392107016.0,3
1392107017.0,1392107017.0,"5,4,3"
1392107017.0,1392107017.0,"5,4"
1392107017.0,1392107017.0,"5,3"
1392107017.0,1392107017.0,5
1392107017.0,1392107017.0,"4,3"
1392107017.0,1392107017.0,4
1392107017.0,1392107017.0,3
1392107018.0,1392107018.0,"5,4,3"
1392107018.0,1392107018.0,"5,4"
1392107018.0,1392107018.0,"5,3"
1392107018.0,1392107018.0,5
1392107018.0,1392107018.0,"4,3"
1392107018.0,1392107018.0,4
1392107018.0,1392107018.0,3
1392107019.0,1392107019.0,"5,4,3"
1392107019.0,1392107019.0,"5,4"
1392107019.0,1392107019.0,"5,3"
1392107019.0,1392107019.0,5
1392107019.0,1392107019.0,"4,3"
1392107019.0,1392107019.0,4
1392107019.0,1392107019.0,3
1392107020.0,1392107020.0,"5,4,3"
1392107020.0,1392107020.0,"5,4"
1392107020.0,1392107020.0,"5,3"
1392107020.0,1392107020.0,5
1392107020.0,1392107020.0,"4,3"
1392107020.0,1392107020.0,4
1392107020.0,1392107020.0,3
1392107021.0,1392107021.0,"5,4,3"
1392107021.0,1392107021.0,"5,4"
1392107021.0,1392107021.0,"5,3"
1392107021.0,1392107021.0,5
1392107021.0,1392107021.0,"4,3"
1392107021.0,1392107021.0,4
1392107021.0,1392107021.0,3
1392107022.0,1392107022.0,"5,4,3"
1392107022.0,1392107022.0,"5,4"
1392107022.0,1392107022.0,"5,3"
1392107022.0,1392107022.0,5
1392107022.0,1392107022.0,"4,3"
1392107022.0,1392107022.0,4
1392107022.0,1392107022.0,3
1392107023.0,1392107023.0,"5,4,3"
1392107023.0,1392107023.0,"5,4"
1392107023.0,1392107023.0,"5,3"
1392107023.0,1392107023.0,5
1392107023.0,1392107023.0,"4,3"
1392107023.0,1392107023.0,4
1392107023.0,1392107023.0,3
1392107024.0,1392107024.0,"5,4,3"
1392107024.0,1392107024.0,"5,4"
1392107024.0,1392107024.0,"5,3"
1392107024.0,1392107024.0,5
1392107024.0,1392107024.0,"4,3"
1392107024.0,1392107024.0,4
1392107024.0,1392107024.0,3
1392107025.0,1392107025.0,"5,4,3"
1392107025.0,1392107025.0,"5,4"
1392107025.0,1392107025.0,"5,3"
1392107025.0,1392107025.0,5
1392107025.0,1392107025.0,"4,3"
1392107025.0,1392107025.0,4
1392107025.0,1392107025.0,3
1392107026.0,1392107026.0,"5,4,3"
1392107026.0,1392107026.0,"5,4"
1392107026.0,1392107026.0,"5,3"
1392107026.0,1392107026.0,5
1392107026.0,1392107026.0,"4,3"
1392107026.0,1392107026.0,4
1392107026.0,1392107026.0,3
1392107027.0,1392107027.0,"5,4,3"
1392107027.0,1392107027.0,"5,4"
1392107027.0,1392107027.0,"5,3"
1392107027.0,1392107027.0,5
1392107027.0,1392107027.0,"4,3"
1392107027.0,1392107027.0,4
1392107027.0,1392107027.0,3
1392107028.0,1392107028.0,"5,4,3"
1392107028.0,1392107028.0,"5,4"
1392107028.0,1392107028.0,"5,3"
1392107028.0,1392107028.0,5
1392107028.0,1392107028.0,"4,3"
1392107028.0,1392107028.0,4
1392107028.0,1392107028.0,3
1392107029.0,1392107029.0,"5,4,3"
1392107029.0,1392107029.0,"5,4"
1392107029.0,1392107029.0,"5,3"
1392107029.0,1392107029.0,5
1392107029.0,1392107029.0,"4,3"
1392107029.0,1392107029.0,4
1392107029.0,1392107029.0,3
1392107030.0,1392107030.0,"5,4,3"
1392107030.0,1392107030.0,"5,4"
1392107030.0,1392107030.0,"5,3"
1392107030.0,1392107030.0,5
1392107030.0,1392107030.0,"4,3"
1392107030.0,1392107030.0,4
1392107030.0,1392107030.0,3
1392107031.0,1392107031.0,"5,4,3"
1392107031.0,1392107031.0,"5,4"
1392107031.0,1392107031.0,"5,3"
1392107031.0,1392107031.0,5
1392107031.0,1392107031.0,"4,3"
1392107031.0,1392107031.0,4
1392107031.0,1392107031.0,3
1392107032.0,1392107032.0,"5,4,3"
1392107032.0,1392107032.0,"5,4"
1392107032.0,1392107032.0,"5,3"
1392107032.0,1392107032.0,5
1392107032.0,1392107032.0,"4,3"
1392107032.0,1392107032.0,4
1392107032.0,1392107032.0,3
1392107033.0,1392107033.0,"5,4,3"
1392107033.0,1392107033.0,"5,4"
1392107033.0,1392107033.0,"5,3"
1392107033.0,1392107033.0,5
1392107033.0,1392107033.0,"4,3"
1392107033.0,1392107033.0,4
1392107033.0,1392107033.0,3
1392107034.0,1392107034.0,"5,4,3"
1392107034.0,1392107034.0,"5,4"
1392107034.0,1392107034.0,"5,3"
1392107034.0,1392107034.0,5
1392107034.0,1392107034.0,"4,3"
1392107034.0,1392107034.0,4
1392107034.0,1392107034.0,3
1392107035.0,1392107035.0,"5,4,3"
1392107035.0,1392107035.0,"5,4"
1392107035.0,1392107035.0,"5,3"
1392107035.0,1392107035.0,5
1392107035.0,1392107035.0,"4,3"
1392107035.0,1392107035.0,4
1392107035.0,1392107035.0,3
1392107036.0,1392107036.0,"5,4,3"
1392107036.0,1392107036.0,"5,4"
1392107036.0,1392107036.0,"5,3"
1392107036.0,1392107036.0,5
1392107036.0,1392107036.0,"4,3"
1392107036.0,1392107036.0,4
1392107036.0,1392107036.0,3
1392107037.0,1392107037.0,"5,4,3"
1392107037.0,1392107037.0,"5,4"
1392107037.0,1392107037.0,"5,3"
1392107037.0,1392107037.0,5
1392107037.0,1392107037.0,"4,3"
1392107037.0,1392107037.0,4
1392107037.0,1392107037.0,3
1392107038.0,1392107038.0,"5,4,3"
1392107038.0,1392107038.0,"5,4"
1392107038.0,1392107038.0,"5,3"
1392107038.0,1392107038.0,5
1392107038.0,1392107038.0,"4,3"
1392107038.0,1392107038.0,4
1392107038.0,1392107038.0,3
1392107039.0,1392107039.0,"5,4,3"
1392107039.0,1392107039.0,"5,4"
1392107039.0,1392107039.0,"5,3"
1392107039.0,1392107039.0,5
1392107039.0,1392107039.0,"4,3"
1392107039.0,1392107039.0,4
1392107039.0,1392107039.0,3
1392107040.0,1392107040.0,"5,4,3"
1392107040.0,1392107040.0,"5,4"
1392107040.0,1392107040.0,"5,3"
1392107040.0,1392107040.0,5
1392107040.0,1392107040.0,"4,3"
1392107040.0,1392107040.0,4
1392107040.0,1392107040.0,3
1392107041.0,1392107041.0,"5,4,3"
1392107041.0,1392107041.0,"5,4"
1392107041.0,1392107041.0,"5,3"
1392107041.0,1392107041.0,5
1392107041.0,1392107041.0,"4,3"
1392107041.0,1392107041.0,4
1392107041.0,1392107041.0,3
1392107042.0,1392107042.0,"5,4,3"
1392107042.0,1392107042.0,"5,4"
1392107042.0,1392107042.0,"5,3"
1392107042.0,1392107042.0,5
1392107042.0,1392107042.0,"4,3"
1392107042.0,1392107042.0,4
1392107042.0,1392107042.0,3
1392107043.0,1392107043.0,"5,4,3"
1392107043.0,1392107043.0,"5,4"
1392107043.0,1392107043.0,"5,3"
1392107043.0,1392107043.0,5
1392107043.0,1392107043.0,"4,3"
1392107043.0,1392107043.0,4
1392107043.0,1392107043.0,3
1392107044.0,1392107044.0,"5,4,3"
1392107044.0,1392107044.0,"5,4"
1392107044.0,1392107044.0,"5,3"
1392107044.0,1392107044.0,5
1392107044.0,1392107044.0,"4,3"
1392107044.0,1392107044.0,4
1392107044.0,1392107044.0,3
1392107045.0,1392107045.0,"5,4,3"
1392107045.0,1392107045.0,"5,4"
1392107045.0,1392107045.0,"5,3"
