start_time,end_time,room_set
1392108944.0,1392108944.0,6
1392108945.0,1392108945.0,"6,4"
1392108945.0,1392108945.0,6
1392108946.0,1392108946.0,"6,4"
1392108946.0,1392108946.0,6
1392108947.0,1392108947.0,"6,4"
1392108947.0,1392108947.0,6
1392108948.0,1392108948.0,"6,4"
1392108948.0,1392108948.0,6
1392108949.0,1392108949.0,"6,4"
1392108949.0,1392108949.0,6
1392108950.0,1392108950.0,"6,4"
1392108950.0,1392108950.0,6
1392108951.0,1392108951.0,"6,4"
1392108951.0,1392108951.0,6
1392108952.0,1392108952.0,"6,4"
1392108952.0,1392108952.0,6
1392108953.0,1392108953.0,"6,4"
1392108953.0,1392108953.0,6
1392108954.0,1392108954.0,"6,4"
1392108954.0,1392108954.0,6
1392108955.0,1392108955.0,"6,4"
1392108955.0,1392108955.0,6
1392108956.0,1392108956.0,"6,4"
1392108956.0,1392108956.0,6
1392108957.0,1392108957.0,"6,4"
1392108957.0,1392108957.0,6
1392108958.0,1392108958.0,"6,4"
1392108958.0,1392108958.0,6
1392108959.0,1392108959.0,"6,4"
1392108959.0,1392108959.0,6
1392108960.0,1392108960.0,"6,4"
1392108960.0,1392108960.0,6
1392108961.0,1392108961.0,"6,4"
1392108961.0,1392108961.0,6
1392108962.0,1392108962.0,"6,4"
1392108962.0,1392108962.0,6
1392108963.0,1392108963.0,"6,4"
1392108963.0,1392108963.0,6
1392108964.0,1392108964.0,"6,4"
1392108964.0,1392108964.0,6
1392108965.0,1392108965.0,"6,4"
1392108965.0,1392108965.0,6
1392108966.0,1392108966.0,"6,4"
1392108966.0,1392108966.0,6
1392108967.0,1392108967.0,"6,4"
1392108967.0,1392108967.0,6
1392108968.0,1392108968.0,"6,4"
1392108968.0,1392108968.0,6
1392108969.0,1392108969.0,"6,4"
1392108969.0,1392108969.0,6
1392108970.0,1392108970.0,"6,4"
1392108970.0,1392108970.0,6
1392108971.0,1392108971.0,"6,4"
1392108971.0,1392108971.0,6
1392108972.0,1392108972.0,"6,4"
1392108972.0,1392108972.0,6
1392108973.0,1392108973.0,"6,4"
1392108973.0,1392108973.0,6
1392108974.0,1392108974.0,"6,4"
1392108974.0,1392108974.0,6
1392108975.0,1392108975.0,"6,4"
1392108975.0,1392108975.0,6
1392108976.0,1392108976.0,"6,4"
1392108976.0,1392108976.0,6
1392108977.0,1392108977.0,"6,4"
1392108977.0,1392108977.0,6
1392108978.0,1392108978.0,"6,4"
1392108978.0,1392108978.0,6
1392108979.0,1392108979.0,"6,4"
1392108979.0,1392108979.0,6
1392108980.0,1392108980.0,"6,4"
1392108980.0,1392108980.0,6
1392108981.0,1392108981.0,"6,4"
1392108981.0,1392108981.0,6
1392108982.0,1392108982.0,"6,4"
1392108982.0,1392108982.0,6
1392108983.0,1392108983.0,"6,4"
1392108983.0,1392108983.0,6
1392108984.0,1392108984.0,"6,4"
1392108984.0,1392108984.0,6
1392108985.0,1392108985.0,"6,4"
1392108985.0,1392108985.0,6
1392108986.0,1392108986.0,"6,4"
1392108986.0,1392108986.0,6
1392108987.0,1392108987.0,"6,4"
1392108987.0,1392108987.0,6
1392108988.0,1392108988.0,"6,4"
1392108988.0,1392108988.0,6
1392108989.0,1392108989.0,"6,4"
1392108989.0,1392108989.0,6
1392108990.0,1392108990.0,"6,4"
1392108990.0,1392108990.0,6
1392108991.0,1392108991.0,"6,4"
1392108991.0,1392108991.0,6
1392108992.0,1392108992.0,"6,4"
1392108992.0,1392108992.0,6
1392108993.0,1392108993.0,"6,4"
1392108993.0,1392108993.0,6
1392108994.0,1392108994.0,"6,4"
1392108994.0,1392108994.0,6
1392108995.0,1392108995.0,"6,4"
1392108995.0,1392108995.0,6
1392108996.0,1392108996.0,"6,4"
1392108996.0,1392108996.0,6
1392108997.0,1392108997.0,"6,4"
1392108997.0,1392108997.0,6
1392108998.0,1392108998.0,"6,4"
1392108998.0,1392108998.0,6
1392108999.0,1392108999.0,"6,4"
1392108999.0,1392108999.0,6
1392109000.0,1392109000.0,"6,4"
1392109000.0,1392109000.0,6
1392109001.0,1392109001.0,"6,4"
1392109001.0,1392109001.0,6
1392109002.0,1392109002.0,"6,4"
1392109002.0,1392109002.0,6
1392109003.0,1392109003.0,"6,4"
1392109003.0,1392109003.0,6
1392109004.0,1392109004.0,"6,4"
1392109004.0,1392109004.0,6
1392109005.0,1392109005.0,"6,4"
1392109005.0,1392109005.0,6
1392109006.0,1392109006.0,"6,4"
1392109006.0,1392109006.0,6
1392109007.0,1392109007.0,"6,4"
1392109007.0,1392109007.0,6
1392109008.0,1392109008.0,"6,4"
1392109008.0,1392109008.0,6
1392109009.0,1392109009.0,"6,4"
1392109009.0,1392109009.0,6
1392109010.0,1392109010.0,"6,4"
1392109010.0,1392109010.0,6
1392109011.0,1392109011.0,"6,4"
1392109011.0,1392109011.0,6
