start_time,end_time,room_set
1392111777.0,1392111777.0,6
1392111778.0,1392111778.0,"5,6,3"
1392111778.0,1392111778.0,"5,6"
1392111778.0,1392111778.0,"6,3"
1392111778.0,1392111778.0,6
1392111779.0,1392111779.0,"5,6,3"
1392111779.0,1392111779.0,"5,6"
1392111779.0,1392111779.0,"6,3"
1392111779.0,1392111779.0,6
1392111780.0,1392111780.0,"5,6,3"
1392111780.0,1392111780.0,"5,6"
1392111780.0,1392111780.0,"6,3"
1392111780.0,1392111780.0,6
1392111781.0,1392111781.0,"5,6,3"
1392111781.0,1392111781.0,"5,6"
1392111781.0,1392111781.0,"6,3"
1392111781.0,1392111781.0,6
1392111782.0,1392111782.0,"5,6,3"
1392111782.0,1392111782.0,"5,6"
1392111782.0,1392111782.0,"6,3"
1392111782.0,1392111782.0,6
1392111783.0,1392111783.0,"5,6,3"
1392111783.0,1392111783.0,"5,6"
1392111783.0,1392111783.0,"6,3"
1392111783.0,1392111783.0,6
1392111784.0,1392111784.0,"5,6,3"
1392111784.0,1392111784.0,"5,6"
1392111784.0,1392111784.0,"6,3"
1392111784.0,1392111784.0,6
1392111785.0,1392111785.0,"5,6,3"
1392111785.0,1392111785.0,"5,6"
1392111785.0,1392111785.0,"6,3"
1392111785.0,1392111785.0,6
1392111786.0,1392111786.0,"5,6,3"
1392111786.0,1392111786.0,"5,6"
1392111786.0,1392111786.0,"6,3"
1392111786.0,1392111786.0,6
1392111787.0,1392111787.0,"5,6,3"
1392111787.0,1392111787.0,"5,6"
1392111787.0,1392111787.0,"6,3"
1392111787.0,1392111787.0,6
1392111788.0,1392111788.0,"5,6,3"
1392111788.0,1392111788.0,"5,6"
1392111788.0,1392111788.0,"6,3"
1392111788.0,1392111788.0,6
1392111789.0,1392111789.0,"5,6,3"
1392111789.0,1392111789.0,"5,6"
1392111789.0,1392111789.0,"6,3"
1392111789.0,1392111789.0,6
1392111790.0,1392111790.0,"5,6,3"
1392111790.0,1392111790.0,"5,6"
1392111790.0,1392111790.0,"6,3"
1392111790.0,1392111790.0,6
1392111791.0,1392111791.0,"5,6,3"
1392111791.0,1392111791.0,"5,6"
1392111791.0,1392111791.0,"6,3"
1392111791.0,1392111791.0,6
1392111792.0,1392111792.0,"5,6,3"
1392111792.0,1392111792.0,"5,6"
1392111792.0,1392111792.0,"6,3"
1392111792.0,1392111792.0,6
1392111793.0,1392111793.0,"5,6,3"
1392111793.0,1392111793.0,"5,6"
1392111793.0,1392111793.0,"6,3"
1392111793.0,1392111793.0,6
1392111794.0,1392111794.0,"5,6,3"
1392111794.0,1392111794.0,"5,6"
1392111794.0,1392111794.0,"6,3"
1392111794.0,1392111794.0,6
1392111795.0,1392111795.0,"5,6,3"
1392111795.0,1392111795.0,"5,6"
