start_time,end_time,room_set
1392113095.0,1392113095.0,"5,6,3"
1392113095.0,1392113095.0,"5,6"
1392113095.0,1392113095.0,"6,3"
1392113095.0,1392113095.0,6
1392113096.0,1392113096.0,"5,6,3"
1392113096.0,1392113096.0,"5,6"
1392113096.0,1392113096.0,"6,3"
1392113096.0,1392113096.0,6
1392113097.0,1392113097.0,"5,6,3"
1392113097.0,1392113097.0,"5,6"
1392113097.0,1392113097.0,"6,3"
1392113097.0,1392113097.0,6
1392113098.0,1392113098.0,"5,6,3"
1392113098.0,1392113098.0,"5,6"
1392113098.0,1392113098.0,"6,3"
1392113098.0,1392113098.0,6
1392113099.0,1392113099.0,"5,6,3"
1392113099.0,1392113099.0,"5,6"
1392113099.0,1392113099.0,"6,3"
1392113099.0,1392113099.0,6
1392113100.0,1392113100.0,"5,6,3"
1392113100.0,1392113100.0,"5,6"
1392113100.0,1392113100.0,"6,3"
1392113100.0,1392113100.0,6
1392113101.0,1392113101.0,"5,6,3"
1392113101.0,1392113101.0,"5,6"
1392113101.0,1392113101.0,"6,3"
1392113101.0,1392113101.0,6
1392113102.0,1392113102.0,"5,6,3"
1392113102.0,1392113102.0,"5,6"
1392113102.0,1392113102.0,"6,3"
1392113102.0,1392113102.0,6
1392113103.0,1392113103.0,"5,6,3"
1392113103.0,1392113103.0,"5,6"
1392113103.0,1392113103.0,"6,3"
1392113103.0,1392113103.0,6
1392113104.0,1392113104.0,"5,6,3"
1392113104.0,1392113104.0,"5,6"
1392113104.0,1392113104.0,"6,3"
1392113104.0,1392113104.0,6
1392113105.0,1392113105.0,"5,6,3"
1392113105.0,1392113105.0,"5,6"
1392113105.0,1392113105.0,"6,3"
1392113105.0,1392113105.0,6
1392113106.0,1392113106.0,"5,6,3"
1392113106.0,1392113106.0,"5,6"
1392113106.0,1392113106.0,"6,3"
1392113106.0,1392113106.0,6
1392113107.0,1392113107.0,"5,6,3"
1392113107.0,1392113107.0,"5,6"
1392113107.0,1392113107.0,"6,3"
1392113107.0,1392113107.0,6
1392113108.0,1392113108.0,"5,6,3"
1392113108.0,1392113108.0,"5,6"
1392113108.0,1392113108.0,"6,3"
1392113108.0,1392113108.0,6
1392113109.0,1392113109.0,"5,6,3"
1392113109.0,1392113109.0,"5,6"
1392113109.0,1392113109.0,"6,3"
1392113109.0,1392113109.0,6
1392113110.0,1392113110.0,"5,6,3"
1392113110.0,1392113110.0,"5,6"
1392113110.0,1392113110.0,"6,3"
1392113110.0,1392113110.0,6
1392113111.0,1392113111.0,"5,6,3"
1392113111.0,1392113111.0,"5,6"
1392113111.0,1392113111.0,"6,3"
1392113111.0,1392113111.0,6
1392113112.0,1392113112.0,"5,6,3"
1392113112.0,1392113112.0,"5,6"
1392113112.0,1392113112.0,"6,3"
1392113112.0,1392113112.0,6
1392113113.0,1392113113.0,"5,6,3"
1392113113.0,1392113113.0,"5,6"
1392113113.0,1392113113.0,"6,3"
1392113113.0,1392113113.0,6
1392113114.0,1392113114.0,"5,6,3"
1392113114.0,1392113114.0,"5,6"
1392113114.0,1392113114.0,"6,3"
1392113114.0,1392113114.0,6
1392113115.0,1392113115.0,"5,6,3"
1392113115.0,1392113115.0,"5,6"
1392113115.0,1392113115.0,"6,3"
1392113115.0,1392113115.0,6
1392113116.0,1392113116.0,"5,6,3"
1392113116.0,1392113116.0,"5,6"
1392113116.0,1392113116.0,"6,3"
1392113116.0,1392113116.0,6
1392113117.0,1392113117.0,"5,6,3"
1392113117.0,1392113117.0,"5,6"
1392113117.0,1392113117.0,"6,3"
1392113117.0,1392113117.0,6
1392113118.0,1392113118.0,"5,6,3"
1392113118.0,1392113118.0,"5,6"
1392113118.0,1392113118.0,"6,3"
1392113118.0,1392113118.0,6
1392113119.0,1392113119.0,"5,6,3"
1392113119.0,1392113119.0,"5,6"
1392113119.0,1392113119.0,"6,3"
1392113119.0,1392113119.0,6
1392113120.0,1392113120.0,"5,6,3"
1392113120.0,1392113120.0,"5,6"
1392113120.0,1392113120.0,"6,3"
1392113120.0,1392113120.0,6
1392113121.0,1392113121.0,"5,6,3"
1392113121.0,1392113121.0,"5,6"
1392113121.0,1392113121.0,"6,3"
1392113121.0,1392113121.0,6
1392113122.0,1392113122.0,"5,6,3"
1392113122.0,1392113122.0,"5,6"
1392113122.0,1392113122.0,"6,3"
1392113122.0,1392113122.0,6
1392113123.0,1392113123.0,"5,6,3"
1392113123.0,1392113123.0,"5,6"
1392113123.0,1392113123.0,"6,3"
1392113123.0,1392113123.0,6
1392113124.0,1392113124.0,"5,6,3"
1392113124.0,1392113124.0,"5,6"
1392113124.0,1392113124.0,"6,3"
1392113124.0,1392113124.0,6
1392113125.0,1392113125.0,"5,6,3"
1392113125.0,1392113125.0,"5,6"
1392113125.0,1392113125.0,"6,3"
1392113125.0,1392113125.0,6
1392113126.0,1392113126.0,"5,6,3"
1392113126.0,1392113126.0,"5,6"
1392113126.0,1392113126.0,"6,3"
1392113126.0,1392113126.0,6
1392113127.0,1392113127.0,"5,6,3"
1392113127.0,1392113127.0,"5,6"
1392113127.0,1392113127.0,"6,3"
1392113127.0,1392113127.0,6
1392113128.0,1392113128.0,"5,6,3"
1392113128.0,1392113128.0,"5,6"
1392113128.0,1392113128.0,"6,3"
1392113128.0,1392113128.0,6
1392113129.0,1392113129.0,"5,6,3"
1392113129.0,1392113129.0,"5,6"
1392113129.0,1392113129.0,"6,3"
1392113129.0,1392113129.0,6
1392113130.0,1392113130.0,"5,6,3"
1392113130.0,1392113130.0,"5,6"
1392113130.0,1392113130.0,"6,3"
1392113130.0,1392113130.0,6
1392113131.0,1392113131.0,"5,6,3"
1392113131.0,1392113131.0,"5,6"
1392113131.0,1392113131.0,"6,3"
1392113131.0,1392113131.0,6
1392113132.0,1392113132.0,"5,6,3"
1392113132.0,1392113132.0,"5,6"
1392113132.0,1392113132.0,"6,3"
1392113132.0,1392113132.0,6
1392113133.0,1392113133.0,"5,6,3"
1392113133.0,1392113133.0,"5,6"
1392113133.0,1392113133.0,"6,3"
1392113133.0,1392113133.0,6
1392113134.0,1392113134.0,"5,6,3"
1392113134.0,1392113134.0,"5,6"
1392113134.0,1392113134.0,"6,3"
1392113134.0,1392113134.0,6
1392113135.0,1392113135.0,"5,6,3"
1392113135.0,1392113135.0,"5,6"
1392113135.0,1392113135.0,"6,3"
1392113135.0,1392113135.0,6
1392113136.0,1392113136.0,"5,6,3"
1392113136.0,1392113136.0,"5,6"
1392113136.0,1392113136.0,"6,3"
1392113136.0,1392113136.0,6
1392113137.0,1392113137.0,"5,6,3"
1392113137.0,1392113137.0,"5,6"
1392113137.0,1392113137.0,"6,3"
1392113137.0,1392113137.0,6
1392113138.0,1392113138.0,"5,6,3"
1392113138.0,1392113138.0,"5,6"
1392113138.0,1392113138.0,"6,3"
1392113138.0,1392113138.0,6
1392113139.0,1392113139.0,"5,6,3"
1392113139.0,1392113139.0,"5,6"
1392113139.0,1392113139.0,"6,3"
1392113139.0,1392113139.0,6
1392113140.0,1392113140.0,"5,6,3"
1392113140.0,1392113140.0,"5,6"
1392113140.0,1392113140.0,"6,3"
1392113140.0,1392113140.0,6
1392113141.0,1392113141.0,"5,6,3"
1392113141.0,1392113141.0,"5,6"
1392113141.0,1392113141.0,"6,3"
1392113141.0,1392113141.0,6
1392113142.0,1392113142.0,"5,6,3"
1392113142.0,1392113142.0,"5,6"
1392113142.0,1392113142.0,"6,3"
1392113142.0,1392113142.0,6
1392113143.0,1392113143.0,"5,6,3"
1392113143.0,1392113143.0,"5,6"
1392113143.0,1392113143.0,"6,3"
1392113143.0,1392113143.0,6
1392113144.0,1392113144.0,"5,6,3"
1392113144.0,1392113144.0,"5,6"
1392113144.0,1392113144.0,"6,3"
1392113144.0,1392113144.0,6
1392113145.0,1392113145.0,"5,6,3"
1392113145.0,1392113145.0,"5,6"
1392113145.0,1392113145.0,"6,3"
1392113145.0,1392113145.0,6
1392113146.0,1392113146.0,"6,3"
1392113146.0,1392113146.0,6
1392113147.0,1392113147.0,"6,3"
1392113147.0,1392113147.0,6
1392113148.0,1392113148.0,"6,3"
1392113148.0,1392113148.0,6
1392113149.0,1392113149.0,"6,3"
1392113149.0,1392113149.0,6
1392113150.0,1392113150.0,"6,3"
1392113150.0,1392113150.0,6
1392113151.0,1392113151.0,"6,3"
1392113151.0,1392113151.0,6
1392113152.0,1392113152.0,"6,3"
1392113152.0,1392113152.0,6
1392113153.0,1392113153.0,"6,3"
1392113153.0,1392113153.0,6
1392113154.0,1392113154.0,"6,3"
1392113154.0,1392113154.0,6
1392113155.0,1392113155.0,"6,3"
1392113155.0,1392113155.0,6
1392113156.0,1392113156.0,"6,3"
1392113156.0,1392113156.0,6
1392113157.0,1392113157.0,"6,3"
1392113157.0,1392113157.0,6
1392113158.0,1392113158.0,"6,3"
1392113158.0,1392113158.0,6
1392113159.0,1392113159.0,"6,3"
1392113159.0,1392113159.0,6
1392113160.0,1392113160.0,"6,3"
1392113160.0,1392113160.0,6
1392113161.0,1392113161.0,"6,3"
1392113161.0,1392113161.0,6
1392113162.0,1392113162.0,"6,3"
1392113162.0,1392113162.0,6
1392113163.0,1392113163.0,"6,3"
1392113163.0,1392113163.0,6
1392113164.0,1392113164.0,"6,3"
1392113164.0,1392113164.0,6
1392113165.0,1392113165.0,"6,3"
1392113165.0,1392113165.0,6
1392113166.0,1392113166.0,"6,3"
1392113166.0,1392113166.0,6
1392113167.0,1392113167.0,"6,3"
1392113167.0,1392113167.0,6
1392113168.0,1392113168.0,"6,3"
1392113168.0,1392113168.0,6
1392113169.0,1392113169.0,"6,3"
1392113169.0,1392113169.0,6
1392113170.0,1392113170.0,"6,3"
1392113170.0,1392113170.0,6
1392113171.0,1392113171.0,"6,3"
1392113171.0,1392113171.0,6
1392113172.0,1392113172.0,"6,3"
1392113172.0,1392113172.0,6
1392113173.0,1392113173.0,"6,3"
1392113173.0,1392113173.0,6
1392113174.0,1392113174.0,"6,3"
1392113174.0,1392113174.0,6
1392113175.0,1392113175.0,"6,3"
1392113175.0,1392113175.0,6
1392113176.0,1392113176.0,"5,6,3"
1392113176.0,1392113176.0,"5,6"
1392113177.0,1392113177.0,"5,6,3"
1392113177.0,1392113177.0,"5,6"
1392113178.0,1392113178.0,"5,6,3"
1392113178.0,1392113178.0,"5,6"
1392113179.0,1392113179.0,"5,6,3"
1392113179.0,1392113179.0,"5,6"
1392113180.0,1392113180.0,"5,6,3"
1392113180.0,1392113180.0,"5,6"
1392113181.0,1392113181.0,"5,6,3"
1392113181.0,1392113181.0,"5,6"
1392113182.0,1392113182.0,"5,6,3"
1392113182.0,1392113182.0,"5,6"
1392113183.0,1392113183.0,"5,6,3"
1392113183.0,1392113183.0,"5,6"
1392113184.0,1392113184.0,"5,6,3"
1392113184.0,1392113184.0,"5,6"
1392113185.0,1392113185.0,"5,6,3"
1392113185.0,1392113185.0,"5,6"
1392113186.0,1392113186.0,"5,6,3"
1392113186.0,1392113186.0,"5,6"
1392113187.0,1392113187.0,"5,6,3"
1392113187.0,1392113187.0,"5,6"
1392113188.0,1392113188.0,"5,6,3"
1392113188.0,1392113188.0,"5,6"
1392113189.0,1392113189.0,"5,6,3"
1392113189.0,1392113189.0,"5,6"
1392113190.0,1392113190.0,"5,6,3"
1392113190.0,1392113190.0,"5,6"
1392113191.0,1392113191.0,"5,6,3"
1392113191.0,1392113191.0,"5,6"
1392113192.0,1392113192.0,"5,6,3"
1392113192.0,1392113192.0,"5,6"
1392113193.0,1392113193.0,"5,6,3"
1392113193.0,1392113193.0,"5,6"
1392113194.0,1392113194.0,"5,6,3"
1392113194.0,1392113194.0,"5,6"
1392113195.0,1392113195.0,"5,6,3"
1392113195.0,1392113195.0,"5,6"
1392113196.0,1392113196.0,"5,6,3"
1392113196.0,1392113196.0,"5,6"
1392113197.0,1392113197.0,"5,6,3"
1392113197.0,1392113197.0,"5,6"
1392113198.0,1392113198.0,"5,6,3"
1392113198.0,1392113198.0,"5,6"
1392113199.0,1392113199.0,"5,6,3"
1392113199.0,1392113199.0,"5,6"
1392113200.0,1392113200.0,"5,6,3"
1392113200.0,1392113200.0,"5,6"
1392113201.0,1392113201.0,"5,6,3"
1392113201.0,1392113201.0,"5,6"
1392113202.0,1392113202.0,"5,6,3"
1392113202.0,1392113202.0,"5,6"
1392113203.0,1392113203.0,"5,6,3"
1392113203.0,1392113203.0,"5,6"
1392113204.0,1392113204.0,"5,6,3"
1392113204.0,1392113204.0,"5,6"
1392113205.0,1392113205.0,"5,6,3"
1392113205.0,1392113205.0,"5,6"
1392113206.0,1392113206.0,"5,6,3"
1392113206.0,1392113206.0,"5,6"
1392113207.0,1392113207.0,"5,6,3"
1392113207.0,1392113207.0,"5,6"
1392113208.0,1392113208.0,"5,6,3"
1392113208.0,1392113208.0,"5,6"
1392113209.0,1392113209.0,"5,6,3"
1392113209.0,1392113209.0,"5,6"
1392113210.0,1392113210.0,"5,6,3"
1392113210.0,1392113210.0,"5,6"
1392113211.0,1392113211.0,"5,6,3"
1392113211.0,1392113211.0,"5,6"
1392113212.0,1392113212.0,"5,6,3"
1392113212.0,1392113212.0,"5,6"
1392113213.0,1392113213.0,"5,6,3"
1392113213.0,1392113213.0,"5,6"
1392113214.0,1392113214.0,"5,6,3"
1392113214.0,1392113214.0,"5,6"
1392113215.0,1392113215.0,"5,6,3"
1392113215.0,1392113215.0,"5,6"
1392113216.0,1392113216.0,"5,6,3"
1392113216.0,1392113216.0,"5,6"
1392113217.0,1392113217.0,"5,6,3"
1392113217.0,1392113217.0,"5,6"
1392113218.0,1392113218.0,"5,6,3"
1392113218.0,1392113218.0,"5,6"
1392113219.0,1392113219.0,"5,6,3"
1392113219.0,1392113219.0,"5,6"
1392113220.0,1392113220.0,"5,6,3"
1392113220.0,1392113220.0,"5,6"
1392113221.0,1392113221.0,"5,6,3"
1392113221.0,1392113221.0,"5,6"
1392113222.0,1392113222.0,"5,6,3"
1392113222.0,1392113222.0,"5,6"
1392113223.0,1392113223.0,"5,6,3"
1392113223.0,1392113223.0,"5,6"
1392113224.0,1392113224.0,"5,6,3"
1392113224.0,1392113224.0,"5,6"
1392113225.0,1392113225.0,"5,6,3"
1392113225.0,1392113225.0,"5,6"
1392113226.0,1392113226.0,"5,6,3"
1392113226.0,1392113226.0,"5,6"
1392113227.0,1392113227.0,"5,6,3"
1392113227.0,1392113227.0,"5,6"
1392113228.0,1392113228.0,"5,6,3"
1392113228.0,1392113228.0,"5,6"
1392113229.0,1392113229.0,"5,6,3"
1392113229.0,1392113229.0,"5,6"
1392113230.0,1392113230.0,"5,6,3"
1392113230.0,1392113230.0,"5,6"
1392113231.0,1392113231.0,"5,6,3"
1392113231.0,1392113231.0,"5,6"
1392113232.0,1392113232.0,"5,6,3"
1392113232.0,1392113232.0,"5,6"
1392113233.0,1392113233.0,"5,6,3"
1392113233.0,1392113233.0,"5,6"
1392113234.0,1392113234.0,"5,6,3"
1392113234.0,1392113234.0,"5,6"
1392113235.0,1392113235.0,"5,6,3"
1392113235.0,1392113235.0,"5,6"
1392113236.0,1392113236.0,"5,6,3"
1392113236.0,1392113236.0,"5,6"
1392113237.0,1392113237.0,"5,6,3"
1392113237.0,1392113237.0,"5,6"
1392113238.0,1392113238.0,"5,6,3"
1392113238.0,1392113238.0,"5,6"
1392113239.0,1392113239.0,"5,6,3"
1392113239.0,1392113239.0,"5,6"
1392113240.0,1392113240.0,"5,6,3"
1392113240.0,1392113240.0,"5,6"
1392113241.0,1392113241.0,"5,6,3"
1392113241.0,1392113241.0,"5,6"
1392113242.0,1392113242.0,"5,6,3"
1392113242.0,1392113242.0,"5,6"
1392113243.0,1392113243.0,"5,6,3"
1392113243.0,1392113243.0,"5,6"
1392113244.0,1392113244.0,"5,6,3"
1392113244.0,1392113244.0,"5,6"
1392113245.0,1392113245.0,"5,6,3"
1392113245.0,1392113245.0,"5,6"
