start_time,end_time,room_set
1392114749.0,1392114749.0,"5,6"
1392114750.0,1392114750.0,"5,6,3"
1392114750.0,1392114750.0,"5,6"
1392114751.0,1392114751.0,"5,6,3"
1392114751.0,1392114751.0,"5,6"
1392114752.0,1392114752.0,"5,6,3"
1392114752.0,1392114752.0,"5,6"
1392114753.0,1392114753.0,"5,6,3"
1392114753.0,1392114753.0,"5,6"
1392114754.0,1392114754.0,"5,6,3"
1392114754.0,1392114754.0,"5,6"
1392114755.0,1392114755.0,"5,6,3"
1392114755.0,1392114755.0,"5,6"
1392114756.0,1392114756.0,"5,6,3"
1392114756.0,1392114756.0,"5,6"
1392114757.0,1392114757.0,"5,6,3"
1392114757.0,1392114757.0,"5,6"
1392114758.0,1392114758.0,"5,6,3"
1392114758.0,1392114758.0,"5,6"
1392114759.0,1392114759.0,"5,6,3"
1392114759.0,1392114759.0,"5,6"
1392114760.0,1392114760.0,"5,6,3"
1392114760.0,1392114760.0,"5,6"
1392114761.0,1392114761.0,"5,6,3"
1392114761.0,1392114761.0,"5,6"
1392114762.0,1392114762.0,"5,6,3"
1392114762.0,1392114762.0,"5,6"
1392114763.0,1392114763.0,"5,6,3"
1392114763.0,1392114763.0,"5,6"
1392114764.0,1392114764.0,"5,6,3"
1392114764.0,1392114764.0,"5,6"
1392114765.0,1392114765.0,"5,6,3"
1392114765.0,1392114765.0,"5,6"
1392114766.0,1392114766.0,"5,6,3"
1392114766.0,1392114766.0,"5,6"
1392114767.0,1392114767.0,"5,6,3"
1392114767.0,1392114767.0,"5,6"
1392114768.0,1392114768.0,"5,6,3"
1392114768.0,1392114768.0,"5,6"
1392114769.0,1392114769.0,"5,6,3"
1392114769.0,1392114769.0,"5,6"
1392114770.0,1392114770.0,"5,6,3"
1392114770.0,1392114770.0,"5,6"
1392114771.0,1392114771.0,"5,6,3"
1392114771.0,1392114771.0,"5,6"
1392114772.0,1392114772.0,"5,6,3"
1392114772.0,1392114772.0,"5,6"
1392114773.0,1392114773.0,"5,6,3"
1392114773.0,1392114773.0,"5,6"
1392114774.0,1392114774.0,"5,6,3"
1392114774.0,1392114774.0,"5,6"
1392114775.0,1392114775.0,"5,6,3"
1392114775.0,1392114775.0,"5,6"
1392114776.0,1392114776.0,"5,6,3"
1392114776.0,1392114776.0,"5,6"
1392114777.0,1392114777.0,"5,6,3"
1392114777.0,1392114777.0,"5,6"
1392114778.0,1392114778.0,"5,6,3"
1392114778.0,1392114778.0,"5,6"
1392114779.0,1392114779.0,"5,6,3"
1392114779.0,1392114779.0,"5,6"
1392114780.0,1392114780.0,"5,6,3"
1392114780.0,1392114780.0,"5,6"
1392114781.0,1392114781.0,"5,6,3"
1392114781.0,1392114781.0,"5,6"
1392114782.0,1392114782.0,"5,6,3"
1392114782.0,1392114782.0,"5,6"
1392114783.0,1392114783.0,"5,6,3"
1392114783.0,1392114783.0,"5,6"
1392114784.0,1392114784.0,"5,6,3"
1392114784.0,1392114784.0,"5,6"
1392114785.0,1392114785.0,"5,6,3"
1392114785.0,1392114785.0,"5,6"
1392114786.0,1392114786.0,"5,6,3"
1392114786.0,1392114786.0,"5,6"
1392114787.0,1392114787.0,"5,6,3"
1392114787.0,1392114787.0,"5,6"
1392114788.0,1392114788.0,"5,6,3"
1392114788.0,1392114788.0,"5,6"
1392114789.0,1392114789.0,"5,6,3"
1392114789.0,1392114789.0,"5,6"
1392114790.0,1392114790.0,"5,6,3"
1392114790.0,1392114790.0,"5,6"
1392114791.0,1392114791.0,"5,6,3"
1392114791.0,1392114791.0,"5,6"
1392114792.0,1392114792.0,"5,6,3"
1392114792.0,1392114792.0,"5,6"
1392114793.0,1392114793.0,"5,6,3"
1392114793.0,1392114793.0,"5,6"
1392114794.0,1392114794.0,"5,6,3"
1392114794.0,1392114794.0,"5,6"
1392114795.0,1392114795.0,"5,6,3"
1392114795.0,1392114795.0,"5,6"
1392114796.0,1392114796.0,"5,6,3"
1392114796.0,1392114796.0,"5,6"
1392114797.0,1392114797.0,"5,6,3"
1392114797.0,1392114797.0,"5,6"
1392114798.0,1392114798.0,"5,6,3"
1392114798.0,1392114798.0,"5,6"
1392114799.0,1392114799.0,"5,6,3"
1392114799.0,1392114799.0,"5,6"
1392114800.0,1392114800.0,"5,6,3"
1392114800.0,1392114800.0,"5,6"
1392114801.0,1392114801.0,"5,6,3"
1392114801.0,1392114801.0,"5,6"
1392114802.0,1392114802.0,"5,6,3"
1392114802.0,1392114802.0,"5,6"
1392114803.0,1392114803.0,"5,6,3"
1392114803.0,1392114803.0,"5,6"
1392114804.0,1392114804.0,"5,6,3"
1392114804.0,1392114804.0,"5,6"
1392114805.0,1392114805.0,"5,6,3"
1392114805.0,1392114805.0,"5,6"
1392114806.0,1392114806.0,"5,6,3"
1392114806.0,1392114806.0,"5,6"
1392114807.0,1392114807.0,"5,6,3"
1392114807.0,1392114807.0,"5,6"
1392114808.0,1392114808.0,"5,6,3"
1392114808.0,1392114808.0,"5,6"
1392114809.0,1392114809.0,"5,6,3"
1392114809.0,1392114809.0,"5,6"
1392114810.0,1392114810.0,"5,6,3"
1392114810.0,1392114810.0,"5,6"
1392114811.0,1392114811.0,"5,6,3"
1392114811.0,1392114811.0,"5,6"
1392114812.0,1392114812.0,"5,6,3"
1392114812.0,1392114812.0,"5,6"
1392114813.0,1392114813.0,"5,6,3"
1392114813.0,1392114813.0,"5,6"
1392114814.0,1392114814.0,"5,6,3"
1392114814.0,1392114814.0,"5,6"
1392114815.0,1392114815.0,"5,6,3"
1392114815.0,1392114815.0,"5,6"
1392114816.0,1392114816.0,"5,6,3"
1392114816.0,1392114816.0,"5,6"
1392114817.0,1392114817.0,"5,6,3"
1392114817.0,1392114817.0,"5,6"
1392114818.0,1392114818.0,"5,6,3"
1392114818.0,1392114818.0,"5,6"
1392114819.0,1392114819.0,"5,6,3"
1392114819.0,1392114819.0,"5,6"
1392114820.0,1392114820.0,"5,6,3"
1392114820.0,1392114820.0,"5,6"
1392114821.0,1392114821.0,"5,6,3"
1392114821.0,1392114821.0,"5,6"
1392114822.0,1392114822.0,"5,6,3"
1392114822.0,1392114822.0,"5,6"
1392114823.0,1392114823.0,"5,6,3"
1392114823.0,1392114823.0,"5,6"
1392114824.0,1392114824.0,"5,6,3"
1392114824.0,1392114824.0,"5,6"
1392114825.0,1392114825.0,"5,6,3"
1392114825.0,1392114825.0,"5,6"
1392114826.0,1392114826.0,"5,6,3"
1392114826.0,1392114826.0,"5,6"
1392114827.0,1392114827.0,"5,6,3"
1392114827.0,1392114827.0,"5,6"
1392114828.0,1392114828.0,"5,6,3"
1392114828.0,1392114828.0,"5,6"
1392114829.0,1392114829.0,"5,6,3"
1392114829.0,1392114829.0,"5,6"
1392114830.0,1392114830.0,"5,6,3"
1392114830.0,1392114830.0,"5,6"
1392114831.0,1392114831.0,"5,6,3"
1392114831.0,1392114831.0,"5,6"
1392114832.0,1392114832.0,"5,6,3"
1392114832.0,1392114832.0,"5,6"
1392114833.0,1392114833.0,"5,6,3"
1392114833.0,1392114833.0,"5,6"
1392114834.0,1392114834.0,"5,6,3"
1392114834.0,1392114834.0,"5,6"
1392114835.0,1392114835.0,"5,6,3"
1392114835.0,1392114835.0,"5,6"
1392114836.0,1392114836.0,"5,6,3"
1392114836.0,1392114836.0,"5,6"
1392114837.0,1392114837.0,"5,6,3"
1392114837.0,1392114837.0,"5,6"
1392114838.0,1392114838.0,"5,6,3"
1392114838.0,1392114838.0,"5,6"
1392114839.0,1392114839.0,"5,6,3"
1392114839.0,1392114839.0,"5,6"
1392114840.0,1392114840.0,"5,6,3"
1392114840.0,1392114840.0,"5,6"
1392114841.0,1392114841.0,"5,6,3"
1392114841.0,1392114841.0,"5,6"
1392114842.0,1392114842.0,"5,6,3"
1392114842.0,1392114842.0,"5,6"
1392114843.0,1392114843.0,"5,6,3"
1392114843.0,1392114843.0,"5,6"
1392114844.0,1392114844.0,"5,6,3"
1392114844.0,1392114844.0,"5,6"
1392114845.0,1392114845.0,"5,6,3"
1392114845.0,1392114845.0,"5,6"
1392114846.0,1392114846.0,"5,6,3"
1392114846.0,1392114846.0,"5,6"
1392114847.0,1392114847.0,"5,6,3"
1392114847.0,1392114847.0,"5,6"
1392114848.0,1392114848.0,"5,6,3"
1392114848.0,1392114848.0,"5,6"
1392114849.0,1392114849.0,"5,6,3"
1392114849.0,1392114849.0,"5,6"
1392114850.0,1392114850.0,"5,6,3"
1392114850.0,1392114850.0,"5,6"
1392114851.0,1392114851.0,"5,6,3"
1392114851.0,1392114851.0,"5,6"
1392114852.0,1392114852.0,"5,6,3"
1392114852.0,1392114852.0,"5,6"
1392114853.0,1392114853.0,"5,6,3"
1392114853.0,1392114853.0,"5,6"
1392114854.0,1392114854.0,"5,6,3"
1392114854.0,1392114854.0,"5,6"
1392114855.0,1392114855.0,"5,6,3"
1392114855.0,1392114855.0,"5,6"
1392114856.0,1392114856.0,"5,6,3"
1392114856.0,1392114856.0,"5,6"
1392114857.0,1392114857.0,"5,6,3"
1392114857.0,1392114857.0,"5,6"
1392114858.0,1392114858.0,"5,6,3"
1392114858.0,1392114858.0,"5,6"
1392114859.0,1392114859.0,"5,6,3"
1392114859.0,1392114859.0,"5,6"
1392114860.0,1392114860.0,"5,6,3"
1392114860.0,1392114860.0,"5,6"
1392114861.0,1392114861.0,"5,6,3"
1392114861.0,1392114861.0,"5,6"
1392114862.0,1392114862.0,"5,6,3"
1392114862.0,1392114862.0,"5,6"
1392114863.0,1392114863.0,"5,6,3"
1392114863.0,1392114863.0,"5,6"
1392114864.0,1392114864.0,"5,6,3"
1392114864.0,1392114864.0,"5,6"
1392114865.0,1392114865.0,"5,6,3"
1392114865.0,1392114865.0,"5,6"
1392114866.0,1392114866.0,"5,6,3"
1392114866.0,1392114866.0,"5,6"
1392114867.0,1392114867.0,"5,6,3"
1392114867.0,1392114867.0,"5,6"
1392114868.0,1392114868.0,"5,6,3"
1392114868.0,1392114868.0,"5,6"
1392114869.0,1392114869.0,"5,6,3"
1392114869.0,1392114869.0,"5,6"
1392114870.0,1392114870.0,"5,6,3"
1392114870.0,1392114870.0,"5,6"
1392114871.0,1392114871.0,"5,6,3"
1392114871.0,1392114871.0,"5,6"
1392114872.0,1392114872.0,"5,6,3"
1392114872.0,1392114872.0,"5,6"
1392114873.0,1392114873.0,"5,6,3"
1392114873.0,1392114873.0,"5,6"
1392114874.0,1392114874.0,"5,6,3"
1392114874.0,1392114874.0,"5,6"
1392114875.0,1392114875.0,"5,6,3"
1392114875.0,1392114875.0,"5,6"
1392114876.0,1392114876.0,"5,6,3"
1392114876.0,1392114876.0,"5,6"
1392114877.0,1392114877.0,"5,6,3"
1392114877.0,1392114877.0,"5,6"
1392114878.0,1392114878.0,"5,6,3"
1392114878.0,1392114878.0,"5,6"
1392114879.0,1392114879.0,"5,6,3"
1392114879.0,1392114879.0,"5,6"
1392114880.0,1392114880.0,"5,6,3"
1392114880.0,1392114880.0,"5,6"
1392114881.0,1392114881.0,"5,6,3"
1392114881.0,1392114881.0,"5,6"
